ID,Time,un,Fix_amb,SV,Moving,Phase,carr,x,y,z,a,b,c,layer,path
4560525_08270200,05:25:20,No,yes,GPS,Moving,Phase: fix all,L1/E1+L2,517647.1979,5036042.9951,159.7794,0.0024,0.0038,0.0045,g1-s1,"file:///C:/Users/maria/OneDrive%20-%20Politecnico%20di%20Milano/Desktop/Lavoro/Esercitazioni/Pos&LBSExercises/2021-22/08_Trajectories/g1-s1.csv?type=csv&maxFields=10000&detectTypes=yes&decimalPoint=,&xField=x&yField=y&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no"
4560525_08270300,05:25:20,No,yes,GPS,Moving,Phase: fix all,L1/E1+L2,517647.188,5036042.9941,159.7793,0.0028,0.0046,0.0054,g1-s1,"file:///C:/Users/maria/OneDrive%20-%20Politecnico%20di%20Milano/Desktop/Lavoro/Esercitazioni/Pos&LBSExercises/2021-22/08_Trajectories/g1-s1.csv?type=csv&maxFields=10000&detectTypes=yes&decimalPoint=,&xField=x&yField=y&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no"
4560525_08270400,05:25:20,No,yes,GPS,Moving,Phase: fix all,L1/E1+L2,517647.1815,5036042.993,159.7786,0.0025,0.0041,0.0048,g1-s1,"file:///C:/Users/maria/OneDrive%20-%20Politecnico%20di%20Milano/Desktop/Lavoro/Esercitazioni/Pos&LBSExercises/2021-22/08_Trajectories/g1-s1.csv?type=csv&maxFields=10000&detectTypes=yes&decimalPoint=,&xField=x&yField=y&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no"
4560525_08270500,05:25:20,No,yes,GPS,Moving,Phase: fix all,L1/E1+L2,517647.1845,5036042.9882,159.7764,0.0022,0.0036,0.0043,g1-s1,"file:///C:/Users/maria/OneDrive%20-%20Politecnico%20di%20Milano/Desktop/Lavoro/Esercitazioni/Pos&LBSExercises/2021-22/08_Trajectories/g1-s1.csv?type=csv&maxFields=10000&detectTypes=yes&decimalPoint=,&xField=x&yField=y&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no"
4560525_08270600,05:25:20,No,yes,GPS,Moving,Phase: fix all,L1/E1+L2,517647.1784,5036042.9954,159.7758,0.0024,0.0039,0.0046,g1-s1,"file:///C:/Users/maria/OneDrive%20-%20Politecnico%20di%20Milano/Desktop/Lavoro/Esercitazioni/Pos&LBSExercises/2021-22/08_Trajectories/g1-s1.csv?type=csv&maxFields=10000&detectTypes=yes&decimalPoint=,&xField=x&yField=y&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no"
4560525_08270700,05:25:20,No,yes,GPS,Moving,Phase: fix all,L1/E1+L2,517647.1889,5036042.9999,159.7771,0.0019,0.0031,0.0037,g1-s1,"file:///C:/Users/maria/OneDrive%20-%20Politecnico%20di%20Milano/Desktop/Lavoro/Esercitazioni/Pos&LBSExercises/2021-22/08_Trajectories/g1-s1.csv?type=csv&maxFields=10000&detectTypes=yes&decimalPoint=,&xField=x&yField=y&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no"
4560525_08270800,05:25:20,No,yes,GPS,Moving,Phase: fix all,L1/E1+L2,517647.1871,5036042.99,159.7715,0.0018,0.0029,0.0034,g1-s1,"file:///C:/Users/maria/OneDrive%20-%20Politecnico%20di%20Milano/Desktop/Lavoro/Esercitazioni/Pos&LBSExercises/2021-22/08_Trajectories/g1-s1.csv?type=csv&maxFields=10000&detectTypes=yes&decimalPoint=,&xField=x&yField=y&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no"
4560525_08270900,05:25:20,No,yes,GPS,Moving,Phase: fix all,L1/E1+L2,517647.1928,5036042.9939,159.7715,0.0021,0.0034,0.004,g1-s1,"file:///C:/Users/maria/OneDrive%20-%20Politecnico%20di%20Milano/Desktop/Lavoro/Esercitazioni/Pos&LBSExercises/2021-22/08_Trajectories/g1-s1.csv?type=csv&maxFields=10000&detectTypes=yes&decimalPoint=,&xField=x&yField=y&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no"
4560525_08271000,05:25:20,No,yes,GPS,Moving,Phase: fix all,L1/E1+L2,517647.1985,5036042.9956,159.7762,0.0022,0.0035,0.0042,g1-s1,"file:///C:/Users/maria/OneDrive%20-%20Politecnico%20di%20Milano/Desktop/Lavoro/Esercitazioni/Pos&LBSExercises/2021-22/08_Trajectories/g1-s1.csv?type=csv&maxFields=10000&detectTypes=yes&decimalPoint=,&xField=x&yField=y&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no"
4560525_08271100,05:25:20,No,yes,GPS,Moving,Phase: fix all,L1/E1+L2,517647.197,5036043.0006,159.7744,0.0025,0.0041,0.0048,g1-s1,"file:///C:/Users/maria/OneDrive%20-%20Politecnico%20di%20Milano/Desktop/Lavoro/Esercitazioni/Pos&LBSExercises/2021-22/08_Trajectories/g1-s1.csv?type=csv&maxFields=10000&detectTypes=yes&decimalPoint=,&xField=x&yField=y&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no"
4560525_08271200,05:25:20,No,yes,GPS,Moving,Phase: fix all,L1/E1+L2,517647.1926,5036042.9891,159.771,0.003,0.0048,0.0057,g1-s1,"file:///C:/Users/maria/OneDrive%20-%20Politecnico%20di%20Milano/Desktop/Lavoro/Esercitazioni/Pos&LBSExercises/2021-22/08_Trajectories/g1-s1.csv?type=csv&maxFields=10000&detectTypes=yes&decimalPoint=,&xField=x&yField=y&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no"
4560525_08271300,05:25:20,No,yes,GPS,Moving,Phase: fix all,L1/E1+L2,517647.196,5036042.9907,159.7744,0.0023,0.0038,0.0045,g1-s1,"file:///C:/Users/maria/OneDrive%20-%20Politecnico%20di%20Milano/Desktop/Lavoro/Esercitazioni/Pos&LBSExercises/2021-22/08_Trajectories/g1-s1.csv?type=csv&maxFields=10000&detectTypes=yes&decimalPoint=,&xField=x&yField=y&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no"
4560525_08271400,05:25:20,No,yes,GPS,Moving,Phase: fix all,L1/E1+L2,517647.1943,5036042.9848,159.7733,0.0021,0.0034,0.004,g1-s1,"file:///C:/Users/maria/OneDrive%20-%20Politecnico%20di%20Milano/Desktop/Lavoro/Esercitazioni/Pos&LBSExercises/2021-22/08_Trajectories/g1-s1.csv?type=csv&maxFields=10000&detectTypes=yes&decimalPoint=,&xField=x&yField=y&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no"
4560525_08271500,05:25:20,No,yes,GPS,Moving,Phase: fix all,L1/E1+L2,517647.1929,5036042.9848,159.7763,0.0035,0.0057,0.0067,g1-s1,"file:///C:/Users/maria/OneDrive%20-%20Politecnico%20di%20Milano/Desktop/Lavoro/Esercitazioni/Pos&LBSExercises/2021-22/08_Trajectories/g1-s1.csv?type=csv&maxFields=10000&detectTypes=yes&decimalPoint=,&xField=x&yField=y&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no"
4560525_08271600,05:25:20,No,yes,GPS,Moving,Phase: fix all,L1/E1+L2,517647.1946,5036042.9951,159.7793,0.0021,0.0034,0.0041,g1-s1,"file:///C:/Users/maria/OneDrive%20-%20Politecnico%20di%20Milano/Desktop/Lavoro/Esercitazioni/Pos&LBSExercises/2021-22/08_Trajectories/g1-s1.csv?type=csv&maxFields=10000&detectTypes=yes&decimalPoint=,&xField=x&yField=y&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no"
4560525_08271700,05:25:20,No,yes,GPS,Moving,Phase: fix all,L1/E1+L2,517647.1969,5036042.9977,159.7731,0.0026,0.0042,0.0049,g1-s1,"file:///C:/Users/maria/OneDrive%20-%20Politecnico%20di%20Milano/Desktop/Lavoro/Esercitazioni/Pos&LBSExercises/2021-22/08_Trajectories/g1-s1.csv?type=csv&maxFields=10000&detectTypes=yes&decimalPoint=,&xField=x&yField=y&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no"
4560525_08271800,05:25:20,No,yes,GPS,Moving,Phase: fix all,L1/E1+L2,517647.1977,5036042.9901,159.7709,0.0023,0.0037,0.0043,g1-s1,"file:///C:/Users/maria/OneDrive%20-%20Politecnico%20di%20Milano/Desktop/Lavoro/Esercitazioni/Pos&LBSExercises/2021-22/08_Trajectories/g1-s1.csv?type=csv&maxFields=10000&detectTypes=yes&decimalPoint=,&xField=x&yField=y&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no"
4560525_08271900,05:25:20,No,yes,GPS,Moving,Phase: fix all,L1/E1+L2,517647.2016,5036042.9949,159.7727,0.0027,0.0043,0.005,g1-s1,"file:///C:/Users/maria/OneDrive%20-%20Politecnico%20di%20Milano/Desktop/Lavoro/Esercitazioni/Pos&LBSExercises/2021-22/08_Trajectories/g1-s1.csv?type=csv&maxFields=10000&detectTypes=yes&decimalPoint=,&xField=x&yField=y&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no"
4560525_08272000,05:25:20,No,yes,GPS,Moving,Phase: fix all,L1/E1+L2,517647.1976,5036042.9898,159.7729,0.0026,0.0042,0.0049,g1-s1,"file:///C:/Users/maria/OneDrive%20-%20Politecnico%20di%20Milano/Desktop/Lavoro/Esercitazioni/Pos&LBSExercises/2021-22/08_Trajectories/g1-s1.csv?type=csv&maxFields=10000&detectTypes=yes&decimalPoint=,&xField=x&yField=y&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no"
4560525_08272100,05:25:20,No,yes,GPS,Moving,Phase: fix all,L1/E1+L2,517647.2057,5036043.003,159.7769,0.0018,0.0029,0.0034,g1-s1,"file:///C:/Users/maria/OneDrive%20-%20Politecnico%20di%20Milano/Desktop/Lavoro/Esercitazioni/Pos&LBSExercises/2021-22/08_Trajectories/g1-s1.csv?type=csv&maxFields=10000&detectTypes=yes&decimalPoint=,&xField=x&yField=y&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no"
4560525_08272200,05:25:20,No,yes,GPS,Moving,Phase: fix all,L1/E1+L2,517647.2075,5036043.0028,159.765,0.0025,0.004,0.0047,g1-s1,"file:///C:/Users/maria/OneDrive%20-%20Politecnico%20di%20Milano/Desktop/Lavoro/Esercitazioni/Pos&LBSExercises/2021-22/08_Trajectories/g1-s1.csv?type=csv&maxFields=10000&detectTypes=yes&decimalPoint=,&xField=x&yField=y&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no"
4560525_08272300,05:25:20,No,yes,GPS,Moving,Phase: fix all,L1/E1+L2,517647.2047,5036042.9911,159.7694,0.0027,0.0043,0.0051,g1-s1,"file:///C:/Users/maria/OneDrive%20-%20Politecnico%20di%20Milano/Desktop/Lavoro/Esercitazioni/Pos&LBSExercises/2021-22/08_Trajectories/g1-s1.csv?type=csv&maxFields=10000&detectTypes=yes&decimalPoint=,&xField=x&yField=y&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no"
4560525_08272400,05:25:20,No,yes,GPS,Moving,Phase: fix all,L1/E1+L2,517647.2069,5036042.9777,159.7749,0.0031,0.0051,0.006,g1-s1,"file:///C:/Users/maria/OneDrive%20-%20Politecnico%20di%20Milano/Desktop/Lavoro/Esercitazioni/Pos&LBSExercises/2021-22/08_Trajectories/g1-s1.csv?type=csv&maxFields=10000&detectTypes=yes&decimalPoint=,&xField=x&yField=y&crs=EPSG:4326&spatialIndex=no&subsetIndex=no&watchFile=no"
